🕘️更新时间,#genre#
2025-02-23 22:20:19,http://123.254.110.101:5000/1000000005000265001/ystenlive/index.m3u8

📺央视频道,#genre#
CCTV-1,http://123.254.110.101:5000/1000000005000265001/ystenlive/index.m3u8
CCTV-1,http://222.67.177.132:12345/udp/239.45.3.145:5140
CCTV-3,http://123.254.110.101:5000/1000000005000265003/ystenlive/index.m3u8
CCTV-3,http://222.67.177.132:12345/udp/239.45.1.68:5140
CCTV-12,http://j.x.bkpcp.top/jx/CCTV12HD
CCTV-12,http://123.254.110.101:5000/1000000005000265012/ystenlive/index.m3u8
CCTV-13,http://j.x.bkpcp.top/jx/CCTV13HD
CCTV-13,http://123.254.110.101:5000/1000000002000021303/ystenlive/index.m3u8
